der el
die los
von desde
von de
von por
mit con
ist es
für para
auf en
ein una
ein un
als como
eine una
eine un
auch también
nicht no
war fue
war era
sie ella
sie usted
cest cest
bis hasta
ich yo
einer uno
sind son
wird será
durch por
einen un
über sobre
aber pero
aber peros
wie cómo
wie como
nur solo
nur sólo
nur solamente
noch todavía
noch aún
unter bajo
hat tiene
hat ha
artikel artículo
artikel artículos
man man
wurden fueron
sein ser
sein su
diese estos
diese estas
diese esta
kann puede
hier aquí
diskussion discusión
seine sus
seine su
seit desde
dieser este
dieser esta
jahr año
wenn si
wenn cuando
dann luego
dann entonces
zwei dos
jahre años
mai mayo
isbn isbn
was qué
hatte tenía
hatte había
zwischen entre
team equipo
team team
mehr más
gegen contra
keine ningunos
waren eran
waren mercancías
zeit hora
zeit tiempo
stadt ciudad
schon ya
haben tener
haben han
haben tienen
gibt da
deutscher alemán
jahren años
ersten primera
ersten primeros
dort allí
seed seed
siehe véase
siehe ver
siehe vea
drei tres
deutschen alemanes
teil parte
berlin berlin
berlin berlín
heute hoy
alle todos
während mientras
während durante
ihre sus
ihre su
bereits ya
dieses este
können pueden
jan jan
sehr muy
ihr su
erste primer
erste primera
erste primeros
august august
august agosto
ohne sin
sollte debería
deutschland alemania
#weiterleitung #redirección
ende fin
ende final
märz marzo
aug ago
deutsche alemanes
deutsche alemana
band banda
band cinta
januar enero
oktober octubre
immer siempre
nov nov
wikipedia wikipedia
jun jun
kirche iglesia
juni junio
konnte pudo
konnte podía
april abril
september septiembre
selbst incluso
weitere más
juli julio
andere otros
okt oct
feb feb
kein ningún
geschichte historia
sondern sino
verlag editorial
apr abr
jpg jpg
dezember diciembre
dez dic
universität universidad
platz espacio
sep sep
november noviembre
liste lista
kam llegó
wir nosotros
wir nos
jahrhundert siglo
dies esto
vier cuatro
seite página
februar febrero
gab dio
etwas algo
mich me
zusammen juntos
zusammen juntas
film película
wäre sería
neue nuevo
neue nuevos
neue nueva
nun ahora
leben vida
new new
namen nombres
namen nombre
weil porque
relevanz relevancia
relevanz pertinencia
muss debe
einige algunas
einige algunos
mitglied miembro
viele muchas
viele muchos
text texto
münchen munich
löschen borrar
erhielt recibió
erhielt obtuvo
erhielt recibido
bekannt conocida
bekannt conocido
bekannt conocidos
zurück volver
zurück vuelta
ort lugar
ort ubicación
geht va
jetzt ahora
friedrich friedrich
saison temporada
neuen nuevo
neuen nuevos
art art
stand stand
würde sería
würde dignidad
politiker políticos
politiker político
personen personas
titel titulo
titel título
titel títulos
karl karl
gut bien
familie familia
weiter seguir
weiter siguiente
weiter continuar
name nombre
behalten conservar
sohn hijo
außerdem también
außerdem además
hans hans
johann johann
großen grandes
großen gran
ins ins
gehört pertenece
gehört oído
bild imagen
nichts nada
wien viena
gelöscht borrado
gelöscht eliminado
große grandes
große gran
denn porque
peter peter
kommt viene
menschen personas
begann empezó
begann comenzó
sei sei
jahrhunderts siglo
fall caso
wilhelm guillermo
wilhelm wilhelm
englisch inglés
danach después
fünf cinco
könig rey
welche cuáles
mehrere varios
mehrere múltiples
mehrere varias
form molde
form forma
meter metros
schloss castillo
gruppe grupo
finden encontrar
genannt nombrado
genannt llamado
nahm tomó
heinrich enrique
letzten últimos
spielte jugaba
spielte jugó
spielte desempeñado
neu nuevo
neu nueva
john john
könnte podría
machen hacer
gewann ganó
beispiel ejemplo
recht derecho
bin soy
bin estoy
bin bin
york york
paul paul
frage pregunta
insgesamt total
gehörte pertenecía
gehörte perteneció
kurz brevemente
kurz corto
kurz breve
unternehmen empresa
unternehmen empresas
verwendet usado
verwendet utilizado
verwendet usada
straße calle
straße carretera
rund redondo
einfach simple
einfach fácil
einfach sencillo
datei archivo
frau esposa
frau mujer
lassen dejar
land país
land tierra
fast casi
hatten tuvieron
hatten tenían
trat entró
tod muerte
arbeit trabajo
macht hace
macht poder
paris parís
alles todo
oft menudo
landkreis distrito
führte llevó
führte realizó
kategorie categoría
bedeutung importancia
bedeutung significado
relevant pertinente
relevant relevante
relevant relevantes
bereich ámbito
bereich área
welt mundo
anfang comienzo
anfang inicio
viel mucho
quelle fuente
michael michael
region región
fand encontró
eigenen propio
eigenen propios
findet encuentra
lang lang
allen allen
hamburg hamburgo
besonders especialmente
deutsch alemán
deutsch espanol
franz franz
franz francisco
lange largo
begriff término
gegründet fundado
gegründet fundada
gebiet zona
gesellschaft compañía
gesellschaft sociedad
folge episodio
folge consecuencia
beide ambos
beide ambas
will will
georg jorge
georg georg
arbeitete trabajó
erhalten conseguir
erhalten recibido
einwohner residentes
einwohner habitantes
innerhalb dentro
führt realiza
führt conduce
studierte estudiado
studierte estudiaba
studierte estudió
london londres
alten viejos
vielen muchas
vielen muchos
kinder niños
gerade apenas
gerade recta
österreich austria
weg lejos
weg camino
mitte centro
sechs seis
album álbum
verschiedenen diferentes
museum museo
musik música
gebäude edificio
gebäude edificios
begründung justificación
begründung motivación
wenig poco
kreis círculo
frankreich francia
pro pro
thomas tomás
thomas thomas
grund razón
grund motivo
möglich posible
thema tema
rolle rodillo
rolle rol
rolle papel
werk fábrica
gewünscht deseado
entwicklung desarrollo
entwicklung evolución
prozent porcentaje
meine mis
meine mi
bau construcción
zweite segunda
zweite segundo
frankfurt frankfurt
stuttgart stuttgart
benutzer usuarios
benutzer usuario
maria maría
maria maria
vater padre
sehen ver
frauen mujeres
buch libro
provinz provincia
dir te
dir dir
quellen fuentes
bleibt permanece
bleibt queda
kilometer kilómetros
kilometer kilometros
stunden horas
martin martín
martin martin
ernst ernst
ernst seriedad
schule escuela
leipzig leipzig
https https
jeder cualquiera
archivierung archivado
dorf pueblo
dorf aldea
robert robert
tochter hija
staaten estados
mannschaft equipo
mannschaft tripulación
gesperrt bloqueado
stark fuerte
stark stark
stark fuertes
gewählt elegidos
gewählt elegido
oben arriba
mann hombre
spielen jugar
iii iii
weiß blanco
bar bar
blieb quedó
sogar hasta
sogar incluso
sowohl tanto
seiten páginas
richtung dirección
köln colonia
partei partido
wer quién
wer quien
kleine pequeña
kleine pequeños
http http
version versión
international internacional
international international
tage días
rahmen marco
rahmen marcos
werke obras
offizielle oficial
offizielle oficiales
kommen venir
weniger menos
autor autor
autor escritor
wirklich realmente
preis precio
ddr ddr
ddr rda
genau exactamente
genau exacto
spiel juego
for for
teilweise parcial
teilweise parcialmente
burg castillo
schweiz suiza
serie serie
serie series
wechselte cambió
erreichte alcanzado
verschiedene varios
verschiedene diferentes
verschiedene diversos
jemand alguien
arbeiten trabajo
arbeiten trabajar
tag día
tag etiqueta
norden norte
sollten deberían
entstand surgió
errichtet construido
errichtet erigido
literatur literatura
einsatz apuesta
einsatz despliegue
millionen millones
zahlreiche numerosos
zahlreiche numerosas
übernahm asumió
solche tales
krieg guerra
besser mejor
französischen francesas
sprache idioma
erster primera
erster primer
zeigt muestra
danke gracias
kunst arte
pdf pdf
schauspieler actores
schauspieler actor
auflage edición
style style
auswahl selección
spieler jugadores
spieler jugador
links enlaces
otto otto
from from
gemeinsam juntos
konnten pudieron
beschreibung descripción
direkt directo
direkt directamente
schriftsteller escritores
schriftsteller escritor
alter edad
beginn comienzo
beginn inicio
klasse clase
obwohl aunque
gemeinden municipios
bischof obispo
erschien apareció
professor profesor
darunter debajo
höhe altitud
höhe altura
ebenso igualmente
reihe serie
reihe fila
häufig frecuentes
süden sur
gruß saludo
entfernt eliminado
gemacht hecho
gehören pertenecen
kleinen pequeños
bestand arrendar
ließ dejó
christian christian
stellen dígitos
stellen puestos
johannes juan
erwähnt menciona
erwähnt mencionado
letzte último
letzte última
bezeichnung denominación
meister maestro
meister campeones
einigen algunos
zuvor anteriormente
zuvor previamente
sicher seguro
insel isla
klar claro
joseph joseph
veröffentlicht publicado
ursprünglich originalmente
regierung gobierno
carl carl
sieben siete
bevölkerung población
osten este
van furgoneta
gleich iguales
gleich igual
alte viejos
alte vieja
internationalen internacional
problem problema
starb murió
bayern baviera
westen chalecos
westen oeste
lage situación
lage ubicación
gleichen mismo
mitglieder miembros
national national
hinter detrás
graf conde
david david
präsident presidente
betrieb explotación
bad baño
baden baden
kaiser emperador
nie nunca
arten especies
laut según
laut ruidoso
geboren nacido
richard richard
sitz asiento
zog sacó
wasser agua
hermann hermann
san san
karriere carrera
zehn diez
center center
uns nosotros
uns nos
system sistema
bilder fotos
bilder imágenes
vermutlich presumiblemente
vermutlich probablemente
erreicht logrado
erreicht alcanzado
enthält incluye
enthält contiene
beitrag contribución
beitrag publicación
main main
meiner mi
kaum apenas
mutter madre
linie línea
west west
acht ocho
scheint parece
ziel destino
ziel objetivo
ziel blanco
per per
grüße saludos
roman novela
liga liga
spiele juegos
sachsen sajonia
wolfgang wolfgang
folgen seguir
walter walter
leider lamentablemente
uhr reloj
einzige único
benannt nombrado
geben dar
meinung opinion
meinung opinión
alexander alejandro
alexander alexander
vorhanden disponible
projekt proyecto
folgte seguido
folgte siguió
maler pintores
maler pintor
paar pareja
max max
sommer verano
runde redondo
runde ronda
william william
institut instituto
raum espacio
armee ejército
jean jean
aufgenommen tomada
aufgenommen grabado
tun hacer
vereinigten unidos
befinden hallazgo
regel regla
gefunden encontrada
gefunden encontrados
gefunden encontrado
welches cuál
erledigt hecho
theater teatro
lag gal
lag lag
wollte quería
dritten terceros
dritten tercero
ehe matrimonio
völlig totalmente
völlig completamente
person persona
mein mi
kloster monasterio
city city
schrieb escribió
com com
hilfe ayuda
gegeben dado
entstanden surgieron
entstanden surgido
reich imperio
reich rico
reich rica
kamen llegaron
kamen vinieron
dich te
schnell rápido
schnell rápida
schnell rápidamente
einzelnen individuales
stellte proporcionó
teile partes
teile piezas
world world
machte hizo
josef josef
josef josé
gmbh gmbh
google google
besten mejores
besten mejor
republik república
setzte sentó
setzte puso
italien italia
fragen preguntas
hälfte mitad
euro euros
euro euro
verbindung acoplamiento
verbindung conexión
nähe proximidad
anders diferente
anders anders
vertrag tratado
vertrag contrato
besuchte visitado
besuchte visitó
james james
top top
bruder hermano
künstler artistas
künstler artista
england inglaterra
dargestellt representado
erfolg éxito
früher antes
früher antiguamente
wissen conocimiento
wissen saber
länge longitud
groß grande
geschrieben escrito
beiträge publicaciones
beiträge cotizaciones
abschnitt sección
möchte quiere
rechts derecha
trainer entrenador
see lago
spielt juega
französische francés
hohen alto
zeitschrift revista
führen llevar
führen conducir
studium estudios
ausbildung formación
ausbildung educación
park parque
george george
wappen escudo
zürich zúrich
wort palabra
landes landas
komponist compositor
zahl número
internationale internacional
zusätzlich además
dresden dresde
schreiben escribir
schreiben escritura
darstellung representación
rudolf rodolfo
rudolf rudolf
firma empresa
firma compañía
nahe cercanos
nahe cerca
tore goles
tore puertas
wahl elección
wahl elecciones
männer hombres
schauspielerin actriz
wiener wiener
hannover hannover
gründung fundación
gründete fundó
gründete basó
beste mejor
zeitung periódico
spd spd
schlacht batalla
richtig correcto
akademie academia
gehen caminar
gehen ir
division división
anzahl número
stil estilo
deine tu
deine tus
sagen decir
charles charles
gebaut construido
gebaut construida
american american
funktion función
wahrscheinlich probablemente
erreichen alcanzar
till till
herzog duque
herzog ducado
selben iguales
zentrum centro
zentrum céntrico
jede cada
jede cualquier
liebe amor
rom roma
nachfolger sucesor
wenige pocos
wenige pocas
grenze frontera
truppen tropas
mitarbeiter personal
mitarbeiter empleado
mitarbeiter empleados
britischen británico
werner werner
verwendung uso
sieg victoria
veröffentlichte publicó
eintrag entrada
entwickelt desarrollado
entwickelt evolucionado
china china
hohe alta
besitzt posee
leicht fácilmente
leicht fácil
leicht ligero
besitz posesión
verbunden conectados
verbunden conectado
bald pronto
autoren escritores
autoren autores
all all
tiefe profundidad
press press
gattung género
allein solo
allein solos
allein sola
bürgermeister alcalde
polen polonia
link link
link enlace
nord nord
bestehen insistir
zuletzt último
zuletzt última
verheiratet casado
ernannt nombrado
km² km²
entwickelte desarrollado
entwickelte desarrolló
produktion producción
herrschaft dominación
berg montaña
sla sla
alt viejo
alt alt
punkt punto
andreas andreas
andreas andrés
stiftung fundación
aktiv activos
aktiv activo
aktiv activa
absolvierte completó
familienname apellido
gute buenas
gute buena
gute buenos
punkte puntos
welcher cuál
sinne sentidos
minuten minutos
bleiben permanecer
frühen tempranos
her her
rang rango
diente sirvió
historischen histórico
historischen histórica
ähnlich similar
ähnlich similares
finale final
verfahren procedimiento
verfahren procedimientos
tour tour
wollen querer
wollen quieren
ergebnis resultado
ergebnis puntuación
mark mark
württemberg wurtemberg
falsch mal
falsch falso
gold oro
weise sabiamente
weise sabio
außer excepto
außer plumón
außer salvo
heiligen santo
heiligen santos
möglichkeit posibilidad
leiter escalera
ausgabe edición
rennen razas
rennen carreras
rennen carrera
union union
union unión
japan japón
belegt ocupado
fläche superficie
großer gran
müller müller
vorsitzender presidente
albert albert
fest festival
fest fiesta
dank gracias
kanton cantón
düsseldorf düsseldorf
versucht intentado
erkennen detectar
erkennen reconocer
politik politica
politik política
anna ana
anna anna
katholischen católico
katholischen católica
right right
hochschule universidad
position posición
schwer pesado
schwer difícil
hinweis aviso
hinweis nota
ausschließlich exclusivamente
gruppen grupos
neues nuevo
weder ni
satz frase
satz oración
satz teorema
ersetzt reemplaza
ersetzt sustituido
ersetzt sustituye
hauptsächlich principalmente
derzeit actualmente
reicht basta
stimmen votos
stimmen voces
geführt conducido
geführt guiado
stadtteil barrio
wert valor
frei libres
frei libre
frank frank
klaus klaus
kritik críticas
kritik crítica
inhalt contenido
inhalt contenidos
heinz heinz
bekannte conocido
bekannte conocidos
beteiligt implicado
wochen semanas
fritz fritz
kategorien categorías
louis louis
records records
selten raras
schüler alumnos
schüler estudiantes
dritte tercera
dritte terceros
dritte tercero
vollständig completa
vollständig totalmente
vollständig completo
admin admin
club club
bremen bremen
relativ relativamente
relativ relativo
erklärt explicado
erklärt explicó
erklärt explica
fort fort
musiker músicos
musiker músico
gesehen visto
fanden encontraron
nimmt toma
adolf adolf
schiff nave
fußball fútbol
bedeutet significa
bietet ofrece
vertreter representante
vertreter representantes
hochgeladen subido
hessen hesse
organisation organización
les les
leute gente
halten mantener
hand mano
sammlung colección
lexikon enciclopedia
www www
unterstützung apoyo
unterstützung soporte
meisterschaft campeonato
erfolgreich exitoso
erfolgreich éxito
nehmen tomar
wichtige importante
wichtige importantes
erbaut construido
sinn sentido
bilden formar
vorlage plantilla
westfalen westfalia
bezirk distrito
hoch alto
hoch alta
außerhalb fuera
herren señores
karte mapa
probleme problemas
alfred alfred
erscheint aparecerá
erscheint aparece
orte lugares
hallo hola
vergleich comparación
php php
nummer número
hof patio
halle halle
basis base
staat estado
dient sirve
anton anton
neun nueve
genommen tomado
genommen tomada
wirtschaft economía
brachte trajo
markt mercado
enthalten contener
enthalten incluido
städte ciudades
kapelle capilla
verloren perdido
dienst servicio
neuer nuevo
ausgezeichnet excelente
russland rusia
trägt lleva
bonn bonn
jugend juventud
allgemeinen general
spanien españa
post post
soldaten soldados
soldaten soldado
lebt vive
tätigkeit actividad
zeigen mostrar
heutige hoy
umgebung alrededores
bücher libros
jedes cada
entscheidung decisión
einfluss influencia
monate meses
anlage instalación
anlage apéndice
beschrieben descrito
übernommen asumido
schutz protección
christoph cristóbal
lied canción
eröffnet inaugurado
cdu cdu
rechte derechos
russischen ruso
erkennbar reconocible
erkennbar reconocibles
tagen días
stück pieza
stück pedazo
programm programa
live live
jazz jazz
unten abajo
papst papa
themen temas
sache cosa
gerhard gerhard
regelmäßig regularmente
regelmäßig regular
regelmäßig regularidad
erschienen aparecido
erschienen apareció
junge muchacho
junge niño
junge chico
eltern padres
sprachen idiomas
sprachen lenguas
internet internet
ländern países
größe tamaño
start inicio
katholische católica
spricht habla
hauptstadt capital
regisseur director
abschluss finalización
abschluss graduación
philosophie filosofía
vorher antes
vorher previamente
friedhof cementerio
philipp felipe
metern metros
lehrer profesores
lehrer profesor
betrug fraude
kopf cabeza
auftrag orden
auftrag misión
zusammenarbeit colaboración
zusammenarbeit cooperación
nein no
verlor perdió
denke piensa
gebracht llevados
gebracht traído
gebracht traido
brücke puente
erstes primera
erstes primer
überwiegend predominantemente
überwiegend predominante
zerstört destruido
bundesliga bundesliga
teilen compartir
nacht noche
versionen versiones
lesen leer
daniel daniel
idee idea
rot rojo
eindeutig claramente
turm torre
zweiter segundo
lebte vivió
lebte vivía
klein pequeño
klein pequeña
klein klein
interesse interés
einführung introducción
freien libre
genug suficiente
genug basta
zuerst primero
enzyklopädie enciclopedia
kind niño
kind niña
eingestellt contratado
kleiner pequeño
münster münster
svg svg
studien estudios
direktor director
römischen romano
erzielte anotó
ost ost
marie marie
gustav gustav
meinen mi
freiburg friburgo
schriften fuentes
fehlt falta
modell modelo
bildung educación
washington washington
kurze corta
kurze corto
kurze breve
island islandia
gesagt dicho
kampf batalla
kampf lucha
vertreten representados
vertreten representar
vertreten representado
abteilung división
abteilung departamento
durchgeführt realizado
beginnt empieza
beginnt comienza
bringen traer
schwarz negro
ulrich ulrich
kurt kurt
verband asociación
single soltera
single soltero
regeln reglas
fiel cayó
forschung investigación
wald bosque
sieger ganador
sieger ganadores
ferdinand ferdinand
joachim joachim
erfolge éxitos
löschung supresión
löschung cancelación
song song
dollar dólar
music music
besondere especial
bekannten conocidos
jürgen jürgen
sänger cantantes
sänger cantante
heidelberg heidelberg
fischer pescadores
fischer fischer
fischer pescador
schweden suecia
ergebnisse resultados
verkauft vendido
vandalismus vandalismo
süd sur
zwölf zwölf
zwölf doce
römisch romano
juden judios
henry henry
elisabeth isabel
möglicherweise posiblemente
brandenburg brandeburgo
stieg subió
verliehen otorgado
guten buenas
guten buenos
anschluss conector
betrieben operado
suche búsqueda
suche buscar
einzelne individuales
breite anchura
breite ancho
royal royal
festival festival
übersetzung traducción
versuch prueba
versuch intento
folgten siguieron
pfalz palatinado
state state
rhein rin
bewegung movimiento
erfüllt cumple
erfüllt cumplido
opfer sacrificio
opfer víctima
opfer víctimas
bayerischen bávaro
erde tierra
angegeben especificado
technik técnica
technik tecnología
roten rojo
typ tipo
italienischen italiano
united united
technische técnica
mag mag
keiner nadie
keiner ninguno
open open
mainz mainz
wenigen pocos
boden suelo
söhne hijos
grand grand
grundlage base
siedlung asentamiento
radio radio
entdeckt descubierta
entdeckt descubierto
bernhard bernhard
vorschlag propuesta
vorschlag sugerencia
erzbischof arzobispo
ungarn hungría
historiker historiadores
historiker historiador
verbreitet difundido
preußischen prusiano
heimat hogar
heimat patria
pierre pierre
sicht visibilidad
software software
status status
status estado
status estatus
rock rock
aufstieg subida
aufstieg ascensión
verwaltung gestión
verwaltung administración
lebten vivieron
lebten vivían
wiki wiki
bank banco
rein pura
rein puro
mannschaften tripulaciones
mannschaften equipos
tor gol
herbst otoño
schulen escuelas
allgemeine general
grafen condes
ebene nivel
ebene llanura
schmidt schmidt
gehörten pertenecían
bundesstaat estado
essen comer
essen comida
göttingen gotinga
richter juez
richter jueces
ausstellung exposición
aufgabe tarea
geld dinero
kirchen iglesias
lösung solución
north north
tiere animales
rheinland renania
werbung publicidad
winter invierno
fehlen faltan
fehlen falta
unterschied diferencia
familien familias
offensichtlich obviamente
offensichtlich obvio
objekte objetos
anteil proporción
anteil porcentaje
society society
house house
verließ abandonó
nürnberg nuremberg
nürnberg núremberg
blick mirada
herr señor
silber plata
hintergrund antecedentes
französisch francés
theorie teoría
air air
benutzt usado
benutzt usada
jährlich anualmente
jährlich anual
erweitert avanzado
erweitert ampliado
unterstützt soporta
unterstützt apoyado
produziert producidos
produziert producido
produziert producida
wuchs creció
allgemein general
verlauf gradiente
verlauf historial
sperre bloqueo
treffen reunión
treffen encuentros
arbeitet trabaja
nutzung uso
nutzen ventajas
architekt arquitecto
jurist jurista
bekam obtuvo
fällt cae
zählt cuenta
eingeführt introducido
hält mantiene
hält sostiene
ortschaft localidad
south south
hervor desprende
existiert existe
führung liderazgo
bestimmte ciertos
ordnung orden
tragen llevar
tragen desgaste
herbert herbert
star star
wichtigsten principales
westlichen occidental
westlichen occidentales
zeichen caracteres
zeichen signo
zeichen signos
früheren anterior
kraft fuerza
komplett completa
komplett completo
braunschweig brunswick
verhalten comportamiento
herkunft procedencia
herkunft origen
sport deportes
sport deporte
mittel medios
verbreitung propagación
verbreitung difusión
theodor teodoro
sofort inmediatamente
wissenschaft ciencia
gesetz ley
journalist periodista
moskau moscú
hamburger hamburguesas
hamburger hamburguesa
edit edit
stimme voz
qualität calidad
aufnahme grabación
veröffentlichung publicación
ziemlich bastante
zahlen números
zahlen cifras
galerie galería
verlassen abandonado
aufbau carrocería
freie libre
black black
aufgaben tareas
aufgaben funciones
wesentlich esencial
title title
fehler errores
fehler error
leitete dirigía
leitete inició
leitete dirigió
filme películas
stadion stadion
stadion estadio
moderne modernas
moderne moderno
bekommen conseguir
basel basilea
org org
wagen vagones
situation situación
unmittelbar directamente
wichtig importante
leistung rendimiento
leistung potencia
gespielt desempeñado
gespielt jugado
motor motor
offiziell oficial
offiziell oficialmente
dieter dieter
texte textos
gott dios
rat consejo
gesetzt apostado
unabhängig independiente
unabhängig independientes
villa villa
dichter poeta
dichter poetas
helmut helmut
nationalen nacionales
nationalen nacional
file file
beschäftigt ocupado
beschäftigt empleado
hergestellt fabricado
tal valle
fotos fotos
sagt dice
gewinnen ganar
woche semana
berufen profesiones
schreibt escribe
information información
erich erich
fernsehen televisión
großes gran
stein piedra
sah vio
sah miró
grundsätzlich básicamente
preußen prusia
wettbewerb concurso
wettbewerb competencia
wären serían
natur naturaleza
dienen servir
braucht necesita
weist asigna
startete lanzó
kosten coste
kosten costo
teilnehmer participante
teilnehmer participantes
gelände terreno
bildete formó
archiv archivos
archiv archivo
chor coro
stefan stefan
history history
zustand estado
bach bach
jakob jakob
gebildet formado
schön hermosa
mensch humano
html html
super super
australien australia
left left
hall hall
urv urv
zeiten tiempos
kreuz cruz
aussage declaración
aussage testimonio
png png
länder paises
länder países
niemand nadie
zukunft futuro
änderungen modificaciones
änderungen cambios
bern berna
revolution revolución
tradition tradición
kanada canadá
veröffentlichungen publicaciones
straßen calles
straßen carreteras
architektur arquitectura
arzt médico
parallel paralelo
parallel paralela
medizin medicina
gehalten mantenidos
praxis consultorio
praxis práctica
angeboten ofrecido
angeboten ofertas
zählen contando
zählen contar
rest resto
rest golazo
bibliothek biblioteca
konrad konrad
druck presiones
druck impresión
freund amigo
antwort respuesta
geschlossen cerrado
love love
landwirtschaft agricultura
stets siempre
weißen blancos
auflösung resolución
auflösung disolución
salzburg salzburgo
tritt patada
erscheinen demostraciones
wissenschaftlichen científico
übertragen transferido
übertragen transferir
fahrzeuge vehículos
portal portal
kindern niños
erstellt creado
schiffe barcos
pfarrer pastor
schwester enfermera
schwester hermana
augen ojos
ergibt devuelve
min min
beispiele ejemplos
gezeigt mostrado
gezeigt demostrado
theologe teólogo
wirkung efectos
wirkung efecto
notwendig necesario
gleiche mismo
simon simon
simon simón
don don
präsidenten presidente
präsidenten presidentes
antrag solicitud
julius julius
nominiert nominado
anwendung aplicación
lieber querido
films films
formel formula
formel fórmula
santa santa
science science
geburtstag cumpleaños
regiment regimiento
nationale nacional
dein tu
niederlage derrota
chicago chicago
institute institutos
formen formas
formen moldes
orgel órgano
video vídeo
video video
versehen proveer
wolf wolf
elf elf
elf once
aufgelöst disuelto
unterschiedliche diferentes
übersetzt traducido
mädchen chica
mädchen niña
glaube fe
glaube creencia
rote rojo
rote roja
suchen buscar
wissenschaften ciencias
trug llevaba
trug vestía
architekten arquitectos
foto foto
eduard eduard
herausgeber editor
herausgeber editores
background background
einheit unidad
nordosten noreste
nordosten nordeste
ritter caballero
ritter caballeros
hersteller fabricante
hersteller fabricantes
lief corrió
rückkehr retorno
darmstadt darmstadt
bringt trae
verantwortlich responsable
stellung posición
tom tom
menge multitud
menge cantidad
zentimeter centímetro
zentimeter centímetros
besitzen poseer
versuchte trató
versuchte intentó
tübingen tübingen
breit ancho
parteien partidos
energie energía
bürger ciudadano
bürger ciudadanos
kennen conozca
aktuelle actual
arthur arthur
arthur arturo
life life
leistungen prestaciones
frühjahr primavera
holstein holstein
auszeichnungen premios
teilnahme participación
besuch visita
